Float pumping speeds by length of pipe between two pumps:
length: 311 measured in pump: 685.71301269531 measured out pump: 685.71301269531
length: 312 measured in pump: 683.75982666016 measured out pump: 683.75982666016
length: 313 measured in pump: 681.81695556641 measured out pump: 681.81695556641
length: 314 measured in pump: 679.88543701172 measured out pump: 679.88543701172
length: 315 measured in pump: 677.96478271484 measured out pump: 677.96478271484
length: 316 measured in pump: 676.05487060547 measured out pump: 676.05487060547
length: 317 measured in pump: 674.15637207031 measured out pump: 674.15637207031
length: 318 measured in pump: 672.26806640625 measured out pump: 672.26806640625
length: 319 measured in pump: 670.38995361328 measured out pump: 670.38995361328
length: 320 measured in pump: 668.52239990234 measured out pump: 668.52239990234
length: 321 measured in pump: 666.66528320313 measured out pump: 666.66528320313
length: 322 measured in pump: 664.81890869141 measured out pump: 664.81890869141
length: 323 measured in pump: 662.98217773438 measured out pump: 662.98217773438
length: 324 measured in pump: 661.15588378906 measured out pump: 661.15588378906
length: 325 measured in pump: 659.33947753906 measured out pump: 659.33947753906
length: 326 measured in pump: 657.53314208984 measured out pump: 657.53314208984
length: 327 measured in pump: 655.73651123047 measured out pump: 655.73651123047
length: 328 measured in pump: 653.94989013672 measured out pump: 653.94989013672
length: 329 measured in pump: 652.1728515625 measured out pump: 652.1728515625
length: 330 measured in pump: 650.40515136719 measured out pump: 650.40515136719
length: 331 measured in pump: 648.64782714844 measured out pump: 648.64782714844
length: 332 measured in pump: 646.89880371094 measured out pump: 646.89880371094
length: 333 measured in pump: 645.16021728516 measured out pump: 645.16021728516
length: 334 measured in pump: 643.43054199219 measured out pump: 643.43054199219
length: 335 measured in pump: 641.71014404297 measured out pump: 641.71014404297
length: 336 measured in pump: 639.99920654297 measured out pump: 639.99920654297
length: 337 measured in pump: 638.29693603516 measured out pump: 638.29693603516
length: 338 measured in pump: 636.603515625 measured out pump: 636.603515625
length: 339 measured in pump: 634.91961669922 measured out pump: 634.91961669922
length: 340 measured in pump: 633.24432373047 measured out pump: 633.24432373047
length: 341 measured in pump: 631.57769775391 measured out pump: 631.57769775391
length: 342 measured in pump: 629.92047119141 measured out pump: 629.92047119141
length: 343 measured in pump: 628.27099609375 measured out pump: 628.27099609375
length: 344 measured in pump: 626.63092041016 measured out pump: 626.63092041016
length: 345 measured in pump: 624.99890136719 measured out pump: 624.99890136719
length: 346 measured in pump: 623.37542724609 measured out pump: 623.37542724609
length: 347 measured in pump: 621.76080322266 measured out pump: 621.76080322266
length: 348 measured in pump: 620.15393066406 measured out pump: 620.15393066406
